google,image_file,label
test,gs://fake_face_detect/test/0.jpg,real
test,gs://fake_face_detect/test/1001.jpg,real
test,gs://fake_face_detect/test/1007.jpg,real
test,gs://fake_face_detect/test/1015.jpg,real
test,gs://fake_face_detect/test/1018.jpg,real
test,gs://fake_face_detect/test/102.jpg,real
test,gs://fake_face_detect/test/1023.jpg,real
test,gs://fake_face_detect/test/1027.jpg,real
test,gs://fake_face_detect/test/1029.jpg,real
test,gs://fake_face_detect/test/1030.jpg,real
test,gs://fake_face_detect/test/1033.jpg,real
test,gs://fake_face_detect/test/1039.jpg,real
test,gs://fake_face_detect/test/1053.jpg,real
test,gs://fake_face_detect/test/1059.jpg,real
test,gs://fake_face_detect/test/1064.jpg,real
test,gs://fake_face_detect/test/1070.jpg,real
test,gs://fake_face_detect/test/1079.jpg,real
test,gs://fake_face_detect/test/1080.jpg,real
test,gs://fake_face_detect/test/1082.jpg,real
test,gs://fake_face_detect/test/1085.jpg,real
test,gs://fake_face_detect/test/1086.jpg,real
test,gs://fake_face_detect/test/1089.jpg,real
test,gs://fake_face_detect/test/109.jpg,real
test,gs://fake_face_detect/test/1094.jpg,real
test,gs://fake_face_detect/test/1097.jpg,real
test,gs://fake_face_detect/test/1120.jpg,real
test,gs://fake_face_detect/test/1124.jpg,real
test,gs://fake_face_detect/test/1134.jpg,real
test,gs://fake_face_detect/test/1136.jpg,real
test,gs://fake_face_detect/test/1138.jpg,real
test,gs://fake_face_detect/test/114.jpg,real
test,gs://fake_face_detect/test/1146.jpg,real
test,gs://fake_face_detect/test/1149.jpg,real
test,gs://fake_face_detect/test/1151.jpg,real
test,gs://fake_face_detect/test/1153.jpg,real
test,gs://fake_face_detect/test/1163.jpg,real
test,gs://fake_face_detect/test/1171.jpg,real
test,gs://fake_face_detect/test/1173.jpg,real
test,gs://fake_face_detect/test/1176.jpg,real
test,gs://fake_face_detect/test/1180.jpg,real
test,gs://fake_face_detect/test/1181.jpg,real
test,gs://fake_face_detect/test/1183.jpg,real
test,gs://fake_face_detect/test/1188.jpg,real
test,gs://fake_face_detect/test/1193.jpg,real
test,gs://fake_face_detect/test/1198.jpg,real
test,gs://fake_face_detect/test/1207.jpg,real
test,gs://fake_face_detect/test/1212.jpg,real
test,gs://fake_face_detect/test/1216.jpg,real
test,gs://fake_face_detect/test/1228.jpg,real
test,gs://fake_face_detect/test/1232.jpg,real
test,gs://fake_face_detect/test/1234.jpg,real
test,gs://fake_face_detect/test/1241.jpg,real
test,gs://fake_face_detect/test/1253.jpg,real
test,gs://fake_face_detect/test/1254.jpg,real
test,gs://fake_face_detect/test/1256.jpg,real
test,gs://fake_face_detect/test/126.jpg,real
test,gs://fake_face_detect/test/1260.jpg,real
test,gs://fake_face_detect/test/1264.jpg,real
test,gs://fake_face_detect/test/1269.jpg,real
test,gs://fake_face_detect/test/1271.jpg,real
test,gs://fake_face_detect/test/1276.jpg,real
test,gs://fake_face_detect/test/1278.jpg,real
test,gs://fake_face_detect/test/1280.jpg,real
test,gs://fake_face_detect/test/129.jpg,real
test,gs://fake_face_detect/test/1295.jpg,real
test,gs://fake_face_detect/test/1298.jpg,real
test,gs://fake_face_detect/test/1301.jpg,real
test,gs://fake_face_detect/test/1306.jpg,real
test,gs://fake_face_detect/test/1308.jpg,real
test,gs://fake_face_detect/test/1321.jpg,real
test,gs://fake_face_detect/test/1322.jpg,real
test,gs://fake_face_detect/test/1324.jpg,real
test,gs://fake_face_detect/test/1327.jpg,real
test,gs://fake_face_detect/test/1329.jpg,real
test,gs://fake_face_detect/test/1330.jpg,real
test,gs://fake_face_detect/test/1332.jpg,real
test,gs://fake_face_detect/test/1335.jpg,real
test,gs://fake_face_detect/test/1337.jpg,real
test,gs://fake_face_detect/test/1349.jpg,real
test,gs://fake_face_detect/test/1352.jpg,real
test,gs://fake_face_detect/test/1364.jpg,real
test,gs://fake_face_detect/test/1369.jpg,real
test,gs://fake_face_detect/test/1370.jpg,real
test,gs://fake_face_detect/test/1371.jpg,real
test,gs://fake_face_detect/test/1372.jpg,real
test,gs://fake_face_detect/test/1375.jpg,real
test,gs://fake_face_detect/test/1376.jpg,real
test,gs://fake_face_detect/test/138.jpg,real
test,gs://fake_face_detect/test/1386.jpg,real
test,gs://fake_face_detect/test/1392.jpg,real
test,gs://fake_face_detect/test/1393.jpg,real
test,gs://fake_face_detect/test/1394.jpg,real
test,gs://fake_face_detect/test/1418.jpg,real
test,gs://fake_face_detect/test/142.jpg,real
test,gs://fake_face_detect/test/1420.jpg,real
test,gs://fake_face_detect/test/1422.jpg,real
test,gs://fake_face_detect/test/1424.jpg,real
test,gs://fake_face_detect/test/1428.jpg,real
test,gs://fake_face_detect/test/1432.jpg,real
test,gs://fake_face_detect/test/1458.jpg,real
test,gs://fake_face_detect/test/1471.jpg,real
test,gs://fake_face_detect/test/1476.jpg,real
test,gs://fake_face_detect/test/1480.jpg,real
test,gs://fake_face_detect/test/1482.jpg,real
test,gs://fake_face_detect/test/1488.jpg,real
test,gs://fake_face_detect/test/1498.jpg,real
test,gs://fake_face_detect/test/1499.jpg,real
test,gs://fake_face_detect/test/1501.jpg,fake
test,gs://fake_face_detect/test/1509.jpg,fake
test,gs://fake_face_detect/test/1510.jpg,fake
test,gs://fake_face_detect/test/153.jpg,real
test,gs://fake_face_detect/test/1542.jpg,fake
test,gs://fake_face_detect/test/1547.jpg,fake
test,gs://fake_face_detect/test/155.jpg,real
test,gs://fake_face_detect/test/1553.jpg,fake
test,gs://fake_face_detect/test/1558.jpg,fake
test,gs://fake_face_detect/test/1559.jpg,fake
test,gs://fake_face_detect/test/1563.jpg,fake
test,gs://fake_face_detect/test/1576.jpg,fake
test,gs://fake_face_detect/test/1581.jpg,fake
test,gs://fake_face_detect/test/1600.jpg,fake
test,gs://fake_face_detect/test/1607.jpg,fake
test,gs://fake_face_detect/test/1609.jpg,fake
test,gs://fake_face_detect/test/161.jpg,real
test,gs://fake_face_detect/test/1613.jpg,fake
test,gs://fake_face_detect/test/1617.jpg,fake
test,gs://fake_face_detect/test/1618.jpg,fake
test,gs://fake_face_detect/test/1619.jpg,fake
test,gs://fake_face_detect/test/1622.jpg,fake
test,gs://fake_face_detect/test/1626.jpg,fake
test,gs://fake_face_detect/test/1631.jpg,fake
test,gs://fake_face_detect/test/1635.jpg,fake
test,gs://fake_face_detect/test/1641.jpg,fake
test,gs://fake_face_detect/test/1645.jpg,fake
test,gs://fake_face_detect/test/1648.jpg,fake
test,gs://fake_face_detect/test/1650.jpg,fake
test,gs://fake_face_detect/test/1658.jpg,fake
test,gs://fake_face_detect/test/1659.jpg,fake
test,gs://fake_face_detect/test/1665.jpg,fake
test,gs://fake_face_detect/test/1673.jpg,fake
test,gs://fake_face_detect/test/1674.jpg,fake
test,gs://fake_face_detect/test/1678.jpg,fake
test,gs://fake_face_detect/test/1686.jpg,fake
test,gs://fake_face_detect/test/1689.jpg,fake
test,gs://fake_face_detect/test/1692.jpg,fake
test,gs://fake_face_detect/test/1694.jpg,fake
test,gs://fake_face_detect/test/1695.jpg,fake
test,gs://fake_face_detect/test/1704.jpg,fake
test,gs://fake_face_detect/test/1705.jpg,fake
test,gs://fake_face_detect/test/1723.jpg,fake
test,gs://fake_face_detect/test/1724.jpg,fake
test,gs://fake_face_detect/test/1725.jpg,fake
test,gs://fake_face_detect/test/1728.jpg,fake
test,gs://fake_face_detect/test/1732.jpg,fake
test,gs://fake_face_detect/test/1738.jpg,fake
test,gs://fake_face_detect/test/1739.jpg,fake
test,gs://fake_face_detect/test/1745.jpg,fake
test,gs://fake_face_detect/test/175.jpg,real
test,gs://fake_face_detect/test/1755.jpg,fake
test,gs://fake_face_detect/test/1758.jpg,fake
test,gs://fake_face_detect/test/1767.jpg,fake
test,gs://fake_face_detect/test/1769.jpg,fake
test,gs://fake_face_detect/test/177.jpg,real
test,gs://fake_face_detect/test/1773.jpg,fake
test,gs://fake_face_detect/test/1776.jpg,fake
test,gs://fake_face_detect/test/1777.jpg,fake
test,gs://fake_face_detect/test/1780.jpg,fake
test,gs://fake_face_detect/test/1785.jpg,fake
test,gs://fake_face_detect/test/1790.jpg,fake
test,gs://fake_face_detect/test/1795.jpg,fake
test,gs://fake_face_detect/test/1796.jpg,fake
test,gs://fake_face_detect/test/1797.jpg,fake
test,gs://fake_face_detect/test/1810.jpg,fake
test,gs://fake_face_detect/test/1813.jpg,fake
test,gs://fake_face_detect/test/1815.jpg,fake
test,gs://fake_face_detect/test/1820.jpg,fake
test,gs://fake_face_detect/test/1822.jpg,fake
test,gs://fake_face_detect/test/1823.jpg,fake
test,gs://fake_face_detect/test/1824.jpg,fake
test,gs://fake_face_detect/test/1834.jpg,fake
test,gs://fake_face_detect/test/1843.jpg,fake
test,gs://fake_face_detect/test/1857.jpg,fake
test,gs://fake_face_detect/test/1862.jpg,fake
test,gs://fake_face_detect/test/1866.jpg,fake
test,gs://fake_face_detect/test/1867.jpg,fake
test,gs://fake_face_detect/test/1869.jpg,fake
test,gs://fake_face_detect/test/1871.jpg,fake
test,gs://fake_face_detect/test/1876.jpg,fake
test,gs://fake_face_detect/test/1882.jpg,fake
test,gs://fake_face_detect/test/1884.jpg,fake
test,gs://fake_face_detect/test/1887.jpg,fake
test,gs://fake_face_detect/test/1894.jpg,fake
test,gs://fake_face_detect/test/1898.jpg,fake
test,gs://fake_face_detect/test/1903.jpg,fake
test,gs://fake_face_detect/test/1909.jpg,fake
test,gs://fake_face_detect/test/1915.jpg,fake
test,gs://fake_face_detect/test/1930.jpg,fake
test,gs://fake_face_detect/test/1934.jpg,fake
test,gs://fake_face_detect/test/1936.jpg,fake
test,gs://fake_face_detect/test/1941.jpg,fake
test,gs://fake_face_detect/test/1945.jpg,fake
test,gs://fake_face_detect/test/1948.jpg,fake
test,gs://fake_face_detect/test/195.jpg,real
test,gs://fake_face_detect/test/1956.jpg,fake
test,gs://fake_face_detect/test/1957.jpg,fake
test,gs://fake_face_detect/test/1962.jpg,fake
test,gs://fake_face_detect/test/1964.jpg,fake
test,gs://fake_face_detect/test/1969.jpg,fake
test,gs://fake_face_detect/test/1970.jpg,fake
test,gs://fake_face_detect/test/1976.jpg,fake
test,gs://fake_face_detect/test/198.jpg,real
test,gs://fake_face_detect/test/1993.jpg,fake
test,gs://fake_face_detect/test/1995.jpg,fake
test,gs://fake_face_detect/test/2.jpg,real
test,gs://fake_face_detect/test/202.jpg,real
test,gs://fake_face_detect/test/2021.jpg,fake
test,gs://fake_face_detect/test/2025.jpg,fake
test,gs://fake_face_detect/test/2026.jpg,fake
